title,Capacity_GB,Generation,Speed_MHz,Latency,Voltage,Brand,Is_kit,Is_gaming,Final_Price
Kingston Fury Beast 32GB (2x16GB) 3200MHz DDR4 CL16 Desktop Memory Kit of 2 KF432C16BB1K2/32,32.0,4.0,3200.0,16.0,1.35,kingston,1.0,1.0,299.77
NEMIX RAM 128GB (8X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with Dell PowerEdge T550 Tower,128.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,1475.49
NEMIX RAM 128GB (8X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with Dell PowerEdge R650 Rack Server,128.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,1475.49
"Samsung 32GB (2x16GB) DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 SODIMM 1Rx8 Single Rank 1.2V 260-Pin Laptop, Notebook RAM Memory",32.0,4.0,3200.0,22.0,1.2,samsung,1.0,0.0,280.0
NEMIX RAM 128GB (8X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with ASUS Pro WS WRX80E-SAGE SE WiFi Motherboard,128.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,1475.49
NEMIX RAM 32GB (2X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with Dell EMC PowerEdge XE7100 XE7420 XE7440 Rack Server,32.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,371.89
NEMIX RAM 32GB (2X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 260-PIN Non-ECC Unbuffered SODIMM KIT Compatible with POSIFLEX ZT-3715 Haydn ZT Series POS Terminal,32.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,241.38
NEMIX RAM 64GB (4X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC Unbuffered UDIMM KIT Compatible with Dell PowerEdge R350 Rack Server,64.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,756.99
NEMIX RAM 64GB (4X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC Unbuffered UDIMM KIT Compatible with ASUS Pro WS WRX80E-SAGE SE WiFi Motherboard,64.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,756.99
Patriot Viper Steel RGB DDR4 RAM 32GB (2X16GB) 3200MT/s CL16 1.35v UDIMM Desktop Gaming Memory Kit Compatible with XMP - PVSR432G320C6K,32.0,4.0,3200.0,16.0,1.35,patriot,1.0,1.0,289.99
32GB 2X16GB DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 260-PIN Non-ECC SODIMM KIT NEMIX RAM Laptop PC Memory,32.0,4.0,3200.0,22.0,1.2,unknown,1.0,0.0,241.38
"A-Tech 32GB Kit (2x16GB) RAM for ASUS TUF Gaming F15 (2021) FX506, FX506HC, FX506HE, FX506HM Gaming Laptop | DDR4 3200MHz PC4-25600 SODIMM 1.2V 260-Pin Non-ECC SO-DIMM Memory Upgrade",32.0,4.0,3200.0,16.0,1.2,a-tech,1.0,1.0,299.98
A-Tech 32GB (2x16GB) RAM for Dell Vostro 15 7510 | DDR4 3200MHz PC4-25600 Non ECC SO-DIMM 1.2V - Laptop & Notebook Memory Upgrade Kit,32.0,4.0,3200.0,22.0,1.2,a-tech,1.0,0.0,299.98
"A-Tech 32GB (2x16GB) RAM Replacement for CT2K16G4SFRA32A | DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 SODIMM 1.2V Non-ECC SO-DIMM 260-Pin Laptop, Notebook Memory Modules",32.0,4.0,3200.0,22.0,1.2,a-tech,1.0,0.0,271.52
A-Tech 32GB Kit (2x16GB) RAM for Acer Nitro 5 AN515-57 Gaming Laptop | DDR4 3200MHz SODIMM PC4-25600 (PC4-3200AA) Memory Upgrade Modules,32.0,4.0,3200.0,16.0,1.35,a-tech,1.0,1.0,299.98
A-Tech 32GB Kit (2x16GB) RAM for Lenovo Legion 5/5i Pro Gaming Laptop | DDR4 3200MHz PC4-25600 SODIMM 1.2V 260-Pin Non-ECC SO-DIMM Memory Upgrade,32.0,4.0,3200.0,16.0,1.2,a-tech,1.0,1.0,299.98
"A-Tech 32GB Kit (2x16GB) RAM for Dell Latitude 3420, 3520, 5420, 5421, 5520, 5521, 5531 Laptop | DDR4 3200MHz PC4-25600 SODIMM 1.2V 260-Pin Non-ECC SO-DIMM Memory Upgrade",32.0,4.0,3200.0,22.0,1.2,a-tech,1.0,0.0,299.98
A-Tech 32GB Kit (2x16GB) RAM for HP Pavilion TG01-2022 Gaming Desktop | DDR4 3200MHz PC4-25600 DIMM 1.2V 288-Pin Non-ECC UDIMM Memory Upgrade,32.0,4.0,3200.0,16.0,1.2,a-tech,1.0,1.0,299.98
CORSAIR Vengence RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36-44-44-96 1.35V Intel XMP 3.0 Computer Memory – Black (CMH32GX5M2E6000C36),32.0,5.0,6000.0,36.0,1.35,corsair,1.0,1.0,369.99
"Crucial Pro DDR5 RAM 32GB Kit (2x16GB), 6400MHz CL32, Overclocking Desktop Gaming Memory, Intel XMP 3.0 & AMD Expo Compatible, Black - CP2K16G64C32U5B",32.0,5.0,6400.0,32.0,1.25,crucial,1.0,1.0,369.99
"Crucial Pro 32GB DDR5 RAM Kit (2x16GB),CL36 6000MHz, Overclocking Desktop Gaming Memory, Intel XMP 3.0 & AMD Expo Compatible, Black - CP2K16G60C36U5B",32.0,5.0,6000.0,36.0,1.25,crucial,1.0,1.0,389.0
TEAMGROUP T-Create Expert CL30 Overclocking 10L DDR5 32GB Kit (2 x 16GB) 6000MHz (PC5-48000) Intel XMP 3.0 & AMD EXPO Compatible Desktop Memory Module Ram Black - CTCED532G6000HC30DC01,32.0,5.0,6000.0,30.0,1.1,teamgroup,1.0,0.0,459.99
G.SKILL Flare X5 Series DDR5 RAM (AMD Expo & Intel XMP 3.0) 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3636F16GX2-FX5),32.0,5.0,6000.0,36.0,1.35,g.skill,1.0,0.0,420.0
PUSKILL 32GB DDR5 RAM (2x16GB) 6000MHz CL30 Desktop Memory | Ultra-Low Latency Gaming PC Upgrade | Intel XMP 3.0 & AMD EXPO Ready for 700/600 & Ryzen 7000 (AM5),32.0,5.0,6000.0,30.0,1.25,unknown,1.0,1.0,398.99
"AGI Gaming Upgrade Kit: UD858 TURBOJET RGB DDR5 6000MHz 32GB (2x16GB) CL30 Desktop Memory & AI828 1TB NVMe PCIe 4.0 M.2 SSD with Heatsink, Up to 7400MB/s, Supports Intel XMP 3.0 & AMD Expo",32.0,5.0,6000.0,30.0,1.25,unknown,1.0,1.0,799.99
"Lexar ARES Gen2 RGB DDR5 RAM 32GB Kit (2x16GB) 6000MHz CL30, 288-Pin UDIMM Desktop Memory, PC Gaming Computer Memory, for Intel XMP 3.0/AMD EXPO/CL30-38-38-76/1.4V(LD5U16G60C30BR-RGD)",32.0,5.0,6000.0,30.0,1.4,unknown,1.0,1.0,459.99
"Crucial Pro 32GB DDR5 RAM Kit (2x16GB), 6000MHz (or 5600MHz or 5200MHz or 4800MHz) Desktop Memory UDIMM 288-pin, Compatible with 13th Gen Intel Core and AMD Ryzen 7000 - CP2K16G60C48U5",32.0,5.0,6000.0,42.0,1.1,crucial,1.0,0.0,389.95
"Crucial 32GB DDR5 RAM Kit (2x16GB), 5600MHz (or 5200MHz or 4800MHz) Laptop Memory 262-Pin SODIMM, Compatible with Intel Core and AMD Ryzen 7000, Black - CT2K16G56C46S5",32.0,5.0,5600.0,42.0,1.1,crucial,1.0,0.0,349.99
G.SKILL Flare X5 Series DDR5 RAM (AMD EXPO) 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3038F16GX2-FX5),32.0,5.0,6000.0,30.0,1.35,g.skill,1.0,0.0,509.99
G.SKILL Trident Z5 Neo RGB Series DDR5 RAM (AMD Expo) 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3038F16GX2-TZ5NR),32.0,5.0,6000.0,30.0,1.35,g.skill,1.0,1.0,499.99
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 6400MHz CL36-48-48-104 1.35V Intel XMP 3.0 Desktop Computer Memory - Black (CMH32GX5M2B6400C36),32.0,5.0,6400.0,36.0,1.35,corsair,1.0,1.0,399.99
TEAMGROUP T-Create Expert Overclocking 10L DDR5 32GB Kit (2 x 16GB) 6000MHz (PC5-48000) CL30 Intel XMP 3.0 & AMD EXPO Compatible Desktop Memory Module Ram White - CTCWD532G6000HC30DC01,32.0,5.0,6000.0,30.0,1.1,teamgroup,1.0,0.0,479.99
Silicon Power Value Gaming DDR5 32GB (2x16GB) 6000MT/s (PC5-48000) 288-pin CL30 1.35V UDIMM Desktop RAM Computer Memory SP032GXLWU60AFDJ,32.0,5.0,6000.0,30.0,1.35,unknown,1.0,1.0,449.97
CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6400MHz CL36-48-48-104 1.35V AMD Expo Intel XMP 3.0 Desktop Computer Memory – Gray (CMK32GX5M2B6400Z36),32.0,5.0,6400.0,36.0,1.35,corsair,1.0,1.0,430.99
DDR5 RAM 32GB (16GB×2) 6000MHz (PC5-48000) CL40 1.35V (XMP3.0/Expo) Desktop (DIMM) Computer Memory with Heatsink White Acclamator,32.0,5.0,6000.0,40.0,1.35,unknown,0.0,1.0,379.99
NEMIX RAM 1.1TB (12X96GB) DDR5 5600MHZ PC5-44800 2Rx4 1.1V CL46 288-PIN ECC RDIMM Registered Server Memory KIT,1152.0,5.0,5600.0,46.0,1.1,unknown,1.0,0.0,34499.99
768GB (12X64GB) DDR5 5600MHZ PC5-44800 4Rx4 1.1V CL46 288-PIN ECC Registered RDIMM NEMIX RAM Server Memory KIT,768.0,5.0,5600.0,46.0,1.1,unknown,1.0,0.0,27429.99
"DATO DDR5 UDIMM 64GB Kit 32GBx2 Desktop RAM 5600MHz PC5-44800 CL46 1.1V 288-Pin Non-ECC unbuffered dimm, Desktop Memory Module",64.0,5.0,5600.0,46.0,1.1,unknown,1.0,0.0,969.99
"DATO 32GB RAM (16GBx2), DDR4 3200MHz with Heatsink, PC4-25600 CL16 1.35V 288-Pin Non-ECC UDIMM, Desktop Memory Module for Gaming, Extreme Black",32.0,4.0,3200.0,16.0,1.35,unknown,0.0,1.0,296.99
"Lexar ARES Gen2 RGB DDR5 RAM 32GB Kit (2x16GB) 6000MHz CL28, 288-Pin UDIMM Desktop Memory, PC Gaming Computer Memory for Intel XMP 3.0/DRAM Empowered by SK hynix/CL28-36-36-68/1.4V(LD5U16G60C28BR-RGD)",32.0,5.0,6000.0,28.0,1.4,sk hynix,1.0,1.0,549.99
"Lexar ARES Gen2 RGB DDR5 RAM 64GB Kit (2x32GB) 6000MHz CL30, 288-Pin UDIMM Desktop Memory, PC Gaming Computer Memory, for Intel XMP 3.0/AMD EXPO/CL30-38-38-76/1.4V",64.0,5.0,6000.0,30.0,1.4,unknown,1.0,1.0,809.99
A-Tech 32GB DDR5 5600MHz PC5-44800 CL46 SODIMM 2Rx8 Dual Rank 1.1V Non-ECC Unbuffered SO-DIMM 262-Pin Laptop Computer RAM Memory Upgrade Module,32.0,5.0,5600.0,46.0,1.1,a-tech,0.0,0.0,409.99
G.SKILL Flare X5 Series DDR5 RAM (AMD Expo) 32GB (2x16GB) 6000MT/s CL32-38-38-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3238F16GX2-FX5),32.0,5.0,6000.0,32.0,1.35,g.skill,1.0,0.0,441.0
Kingston FURY Beast RGB 32GB 6000MT/s DDR5 CL30 Desktop Memory | AMD EXPO | Single Module | KF560C30BBEA-32,32.0,5.0,6000.0,30.0,1.25,kingston,0.0,1.0,469.99
TEAMGROUP T-Force Delta Alpha RGB DDR5 Ram 32GB Kit (2x16GB) 6000MHz (PC5-48000) CL38 Intel XMP 3.0 & AMD Expo Compatible Desktop Memory Module Ram White FF8D532G6000HC38JDC01,32.0,5.0,6000.0,38.0,1.25,teamgroup,1.0,1.0,499.49
TEAMGROUP T-Force Vulcan Alpha DDR5 Ram 32GB Kit (2x16GB) 6000MHz (PC5-48000) CL38 Desktop Memory Module Ram AMD Optimized Memory Black FLABD532G6000HC38JDC01,32.0,5.0,6000.0,38.0,1.25,teamgroup,1.0,1.0,489.49
Patriot Memory Viper Elite 5 RGB DDR5 RAM 32GB (2X16GB) 6000MT/s CL30 1.35v UDIMM Desktop Gaming Memory Kit Compatible with Intel XMP/AMD Expo - PVER532G60C30KW,32.0,5.0,6000.0,30.0,1.35,patriot memory,1.0,1.0,474.99
Kingston FURY Beast 32GB (2x16GB) 6000MT/s DDR5 CL30 Desktop Memory | AMD EXPO | Kit of 2 | KF560C30BBEK2-32,32.0,5.0,6000.0,30.0,1.25,kingston,1.0,1.0,499.99
KLEVV CRAS V RGB DDR5 32GB (2x16GB) 6000MHz CL30 SK Hynix A-Die 1.35V Gaming Desktop Ram Memory XMP 3.0 / AMD Expo Ready - White (KD5AGUA80-60A300J),32.0,5.0,6000.0,30.0,1.35,sk hynix,1.0,1.0,499.99
G.SKILL Trident Z5 RGB Series DDR5 RAM (Intel XMP 3.0 & AMD Expo) 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3636F16GA2-TZ5RK),32.0,5.0,6000.0,36.0,1.35,g.skill,1.0,1.0,479.99
G.SKILL Ripjaws S5 Series DDR5 RAM (Intel XMP 3.0) 32GB (2x16GB) 6000MT/s CL30-40-40-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3040F16GA2-RS5K),32.0,5.0,6000.0,30.0,1.35,g.skill,1.0,1.0,479.99
CORSAIR Vengeance RGB RS DDR5 RAM 32GB (2x16GB) 6000MHz CL36-44-44-96 1.35V AMD EXPO Intel XMP Computer Desktop Memory – Gray (CMG32GX5M2E6000Z36),32.0,5.0,6000.0,36.0,1.35,corsair,1.0,1.0,505.99
CORSAIR Vengeance DDR5 32GB (2 x 16GB) 6000MHz CL38-44-44-96 1.35V Intel XMP 3.0 AMD Expo Computer Desktop Memory – Gray,32.0,5.0,6000.0,38.0,1.35,corsair,1.0,1.0,317.22
KLEVV FIT V DDR5 32GB (2x16GB) 6000MHz CL28 SK Hynix A-Die 1.4V Gaming Desktop Ram Memory XMP 3.0 / AMD Expo Ready - Black (KD5AGU880-60B280L),32.0,5.0,6000.0,28.0,1.4,sk hynix,1.0,1.0,464.99
TEAMGROUP T-Force Delta RGB DDR5 32GB Kit (2x16GB) 6400MHz (PC5-51200) CL40 Desktop Memory Module Ram (Black) for Z690 - FF3D532G6400HC40BDC01,32.0,5.0,6400.0,40.0,1.25,teamgroup,1.0,1.0,549.99
NEMIX RAM 32GB (2X16GB) DDR5 4800MHZ PC5-38400 1Rx8 1.1V CL40 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with ASUS Pro WS WRX90E SAGE SE Workstation Motherboard,32.0,5.0,4800.0,40.0,1.1,unknown,1.0,0.0,1078.99
Patriot Viper Elite 5 DDR5 RAM 32GB (2X16GB) 6000MT/s CL30 1.35v UDIMM Desktop Gaming Memory KitCompatible with Intel XMP/AMD Expo - VEB532G6030KW,32.0,5.0,6000.0,30.0,1.35,patriot,1.0,1.0,421.49
G.SKILL Trident Z5 Neo RGB Series DDR5 RAM (AMD Expo & Intel XMP 3.0) 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3636F16GX2-TZ5NR),32.0,5.0,6000.0,36.0,1.35,g.skill,1.0,1.0,479.99
Silicon Power DDR5 32GB (2x16GB) Zenith 6000MT/s (PC5-48000) 288-pin CL30 1.35V UDIMM Desktop Memory Module RAM SU032GXLWU60AFDGSW White,32.0,5.0,6000.0,30.0,1.35,unknown,1.0,0.0,449.97
"Crucial 32GB DDR5 RAM Kit (2x16GB), 4800MHz (PC5-38400) CL40 Desktop Memory, UDIMM 288-Pin, Compatible with 13th Gen Intel Core and AMD Ryzen 7000 - CT2K16G48C40U5",32.0,5.0,4800.0,40.0,1.1,crucial,1.0,0.0,447.95
【DDR5 RAM】 GIGASTONE Game PRO 32GB Kit (2x16GB) DDR5 6000MHz PC5-48000 CL40-40-40-76 Intel XMP 3.0 AMD Expo 1.3V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - White,32.0,5.0,6000.0,40.0,1.3,unknown,1.0,1.0,508.99
KLEVV Bolt V DDR5 32GB (2x16GB) 6000MHz CL30 SK Hynix A-Die 1.35V Gaming Desktop Ram Memory XMP 3.0 / AMD Expo Ready (KD5AGUA80-60A300H),32.0,5.0,6000.0,30.0,1.35,sk hynix,1.0,1.0,479.99
【DDR5 RAM】 GIGASTONE Game PRO 128GB Kit (4x32GB) DDR5 6000MHz PC5-48000 CL40-40-40-76 Intel XMP 3.0 AMD Expo 1.3v UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory – Black,128.0,5.0,6000.0,40.0,1.3,unknown,1.0,1.0,1968.99
Kingsnake ANACOMDA DDR5 RAM 32GB (2 x 16GB) 6000MHz CL38 288-Pin Desktop Memory with Heatsink - Made in Taiwan,32.0,5.0,6000.0,38.0,1.25,unknown,1.0,1.0,357.99
CORSAIR Vengeance RGB RS DDR5 RAM 64GB (2x32GB) 6000MHz CL40-50-50-96 1.35V AMD EXPO Intel XMP Computer Desktop Memory – Gray (CMG64GX5M2D6000Z40),64.0,5.0,6000.0,40.0,1.35,corsair,1.0,1.0,926.99
TEAMGROUP T-Force Vulcan DDR5 32GB (2x16GB) 6000MHz (PC5-48000) CL38 Intel XMP 3.0 & AMD Expo Compatible Desktop Memory Module Ram Red FLRD532G6000HC38JDC01,32.0,5.0,6000.0,38.0,1.25,teamgroup,1.0,1.0,489.99
Patriot Memory Viper Xtreme 5 MPOWER DDR5 RGB RAM 32GB (2X16GB) 6000MT/s CL30 1.35v UDIMM Desktop Gaming Memory Kit Compatible with Intel XMP/AMD Expo - PVXR532G60C30KM,32.0,5.0,6000.0,30.0,1.35,patriot memory,1.0,1.0,469.99
G.SKILL Trident Z5 Neo RGB Series DDR5 RAM (AMD Expo & Intel XMP 3.0) 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3038F16GX2-TZ5NR),32.0,5.0,6000.0,30.0,1.35,g.skill,1.0,1.0,519.99
Kingston FURY Beast 32GB (2x16GB) 5200MT/s DDR5 CL40 Kit of 2 Desktop Memory KF552C40BBK2-32,32.0,5.0,5200.0,40.0,1.25,kingston,1.0,1.0,441.69
CORSAIR Vengeance DDR5 32GB (2x16GB) DDR5 6000MHz CL36 AMD Expo Intel XMP iCUE Compatible Computer Memory – Gray (CMK32GX5M2E6000Z36),32.0,5.0,6000.0,36.0,1.25,corsair,1.0,1.0,430.99
G.SKILL Trident Z5 Neo RGB Series DDR5 RAM (AMD EXPO) 32GB (2x16GB) 6000MT/s CL30-36-36-96 1.35V Desktop Computer Memory U-DIMM - Matte White (F5-6000J3036F16GX2-TZ5NRW),32.0,5.0,6000.0,30.0,1.35,g.skill,1.0,1.0,505.0
G.SKILL Trident Z5 Neo RGB Series DDR5 RAM (AMD Expo) 64GB (2x32GB) 6000MT/s CL30-40-40-96 1.40V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3040G32GX2-TZ5NR),64.0,5.0,6000.0,30.0,1.4,g.skill,1.0,1.0,949.99
"CORSAIR Vengeance DDR5 SODIMM 32GB (2x16GB) DDR5 5600MHz C48 (Compatible with Nearly Any Intel and AMD System, Easy Installation, Faster Load Times, XMP 3.0 Compatibility) Black",32.0,5.0,5600.0,36.0,1.25,corsair,1.0,1.0,418.99
G.SKILL Trident Z5 Neo Series DDR5 RAM (AMD EXPO) 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3038F16GX2-TZ5N),32.0,5.0,6000.0,30.0,1.35,g.skill,1.0,1.0,519.99
Patriot Memory Viper Xtreme 5 DDR5 RAM 32GB (2X16GB) 6000MT/s CL30 1.35v UDIMM Desktop Gaming Memory Kit Compatible with Intel XMP/AMD Expo - PVX532G60C30K,32.0,5.0,6000.0,30.0,1.35,patriot memory,1.0,1.0,449.99
Patriot Memory Viper Elite 5 RGB DDR5 RAM 32GB (1X32GB) 6000MT/s CL42 1.35v UDIMM Desktop Gaming Memory Compatible with Intel XMP/AMD Expo - PVER532G60C42W,32.0,5.0,6000.0,42.0,1.35,patriot memory,0.0,1.0,431.99
"Crucial 32GB DDR5 RAM Kit (2x16GB), 4800MHz CL40 Laptop Memory - Compatible with Intel 12th Gen and AMD Processors - CT2K16G48C40S5",32.0,5.0,4800.0,40.0,1.1,crucial,1.0,0.0,368.0
