title,Capacity_GB,Generation,Speed_MHz,Latency,Brand,Is_kit,Is_gaming,Final_Price
16GB (2X8GB) DDR4 3200MHZ PC4-25600 SODIMM 2Rx8 1.2V CL22 260-PIN Non-ECC Laptop PC Computer Memory KIT,16.0,4.0,3200.0,22,Unknown,1.0,0.0,139.89
TEAMGROUP T-Force Vulcan Z DDR4 DRAM 16GB Kit (2x8GB) 3200MHz Desktop Memory Module (PC4-25600) CL16 Ram (Gray) - TLZGD416G3200HC16FDC01,16.0,4.0,3200.0,16,TEAMGROUP,1.0,1.0,139.99
"PUSKILL DDR4 Laptop RAM 16GB Kit (2x8GB) 3200MHz (PC4-25600) 260-Pin SODIMM CL22 1.2V - Plug and Play Upgrade for Gaming Laptops and Notebooks, Compatible with Intel & AMD",16.0,4.0,3200.0,22,Unknown,1.0,1.0,99.99
TEAMGROUP Elite DDR4 16GB Kit (2 x 8GB) 3200MHz PC4-25600 CL22 Unbuffered Non-ECC 1.2V SODIMM 260-Pin Laptop Notebook PC Computer Memory Module Ram Upgrade - TED416G3200C22DC-S01,16.0,4.0,3200.0,22,TEAMGROUP,1.0,0.0,138.99
"Crucial 16GB DDR4 RAM Kit (2x8GB), 3200MHz (PC4-25600) CL22 Desktop Memory, UDIMM 288-Pin, Downclockable to 2933/2666MHz, Compatible with Intel and AMD Ryzen - CT2K8G4DFRA32A",16.0,4.0,3200.0,22,Crucial,1.0,0.0,165.0
NEMIX RAM 16GB (2X8GB) DDR4 3200MHZ PC4-25600 1Rx8 1.2V CL22 260-PIN Non-ECC Unbuffered SODIMM Laptop PC Memory KIT Compatible with Dell Inspiron 27 All-in-One,16.0,4.0,3200.0,22,Dell,1.0,0.0,139.89
"Crucial 32GB DDR4 RAM Kit (2x16GB), 3200MHz (PC4-25600) CL22 Laptop Memory, SODIMM 260-Pin, Downclockable to 2933/2666MHz, Compatible with 13th Gen Intel Core and AMD Ryzen 7000 - CT2K16G4SFRA32A",32.0,4.0,3200.0,22,Crucial,1.0,0.0,254.8
"Crucial 32GB DDR4 RAM Kit (2x16GB), 3200MHz (PC4-25600) CL22 Desktop Memory, UDIMM 288-Pin, Downclockable to 2933/2666MHz, Compatible with Intel and AMD Ryzen - CT2K16G4DFRA32A",32.0,4.0,3200.0,22,Crucial,1.0,0.0,254.79
Timetec 16GB KIT(2x8GB) DDR4 3200MHz (or 2933MHz or 2666MHz) PC4-25600 Non-ECC Unbuffered 1.2V CL22 1Rx8 Single Rank 260 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade,16.0,4.0,3200.0,22,Timetec,1.0,0.0,129.99
A-Tech 32GB (2x16GB) DDR4 3200 MHz SODIMM PC4-25600 (PC4-3200AA) CL22 Non-ECC Laptop RAM Memory Modules,32.0,4.0,3200.0,22,A-Tech,1.0,0.0,258.38
Acclamator DDR4 16GB Kit (2x8GB) 3200MHz PC4-25600 CL22 1.2V Unbuffered Non-ECC SODIMM 260-Pin Laptop Notebook PC Computer Memory Module Ram Upgrade,16.0,4.0,3200.0,22,Unknown,1.0,0.0,119.99
Patriot Viper Steel DDR4 RAM 16GB (2X8GB) 3200MHz CL16 1.35v UDIMM Desktop Gaming Memory Kit Compatible with XMP - PVS416G320C6K,16.0,4.0,3200.0,16,Patriot,1.0,1.0,151.99
LinkMore 32GB Kit (2 x 16GB) DDR4 3200MH SODIMM (PC4-25600) CL22 1.2V Laptop Memory Module,32.0,4.0,3200.0,22,Unknown,1.0,0.0,239.99
【RGB DDR4 RAM】GIGASTONE Game TURBO 32GB Kit (2x16GB)DDR4 3200MHz PC4-25600 CL16-18-18-40 Intel XMP 2.0 AMD Ryzen 1.35V UDIMM 288 Pin Unbuffered Non ECC High Performance Gaming Desktop Memory - Black,32.0,4.0,3200.0,16,Unknown,1.0,1.0,298.99
A-Tech 16GB DDR4 3200 MHz UDIMM PC4-25600 (PC4-3200AA) CL22 DIMM Non-ECC Desktop RAM Memory Module,16.0,4.0,3200.0,22,A-Tech,0.0,0.0,130.99
【DDR3 RAM】 GIGASTONE 32GB Kit (4x8GB) DDR3/DDR3L 1600MHz (1333MHz) PC3-12800 (PC3-10600) CL11 1.35V/1.5V 2Rx8 UDIMM 240 Pin Unbuffered Non ECC High Performance PC Desktop Memory Upgrade,32.0,3.0,1600.0,11,Unknown,1.0,0.0,88.99
Timetec 32GB KIT(2x16GB) DDR4 3200MHz (or 2933MHz or 2666MHz) PC4-25600 Non-ECC Unbuffered 1.2V CL22 2Rx8 Dual Rank 260 Pin SODIMM Laptop Notebook PC Computer Memory RAM Module Upgrade,32.0,4.0,3200.0,22,Timetec,1.0,0.0,229.99
TEAMGROUP Elite DDR4 32GB Kit (2 x 16GB) 3200MHz (PC4-25600) CL22 Unbuffered Non-ECC 1.2V UDIMM 288 Pin PC Computer Desktop Memory Module Ram Upgrade - TED432G3200C22DC01,32.0,4.0,3200.0,22,TEAMGROUP,1.0,0.0,250.99
Patriot Viper Elite II DDR4 RAM 16GB (2X8GB) 3200MHz CL18 1.35v UDIMM Desktop Gaming Memory Kit Compatible with XMP - PVE2416G320C8K,16.0,4.0,3200.0,18,Patriot,1.0,1.0,149.99
"Samsung 16GB (2x8GB) DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 SODIMM 1Rx16 Single Rank 1.2V 260-Pin Laptop, Notebook RAM Memory",16.0,4.0,3200.0,22,Samsung,1.0,0.0,137.94
Netac DDR4 DRAM 32GB Kit (2x16GB) 3200MHz XMP 2.0 Dual Channel RAM CL16 (PC4-25600) 1.35V 288-Pin Upgraded Aluminum Heat Sink Ideal for Gaming Computer Upgrade - Shadow II Series,32.0,4.0,3200.0,16,Unknown,1.0,1.0,236.99
CORSAIR Vengeance SODIMM DDR4 RAM 16GB (1x16GB) 3200MHz CL22-22-22-53 1.2V Intel AMD Laptop Notebook Memory - Black (CMSX16GX4M1A3200C22),16.0,4.0,3200.0,22,CORSAIR,0.0,1.0,131.99
G.SKILL Trident Z RGB Series DDR4 RAM (XMP) 32GB (2x16GB) 4000MT/s CL18-22-22-42 1.40V Desktop Computer Memory U-DIMM (F4-4000C18D-32GTZR),32.0,4.0,4000.0,18,G.SKILL,1.0,1.0,319.99
OLOy DDR4 RAM 16GB (2x8GB) Black Owl 3200 MHz CL16 1.35V 288-Pin Desktop Gaming UDIMM (MD4U0832161BJ0DA),16.0,4.0,3200.0,16,Unknown,1.0,1.0,132.99
Silicon Power Value Gaming DDR4 RAM 16GB (2x8GB) 3200MHz (PC4 25600) 288-pin CL16 1.35V UDIMM Desktop Memory Module with Heatsink Grey SU016GXLZU320BDAJ5,16.0,4.0,3200.0,16,Unknown,1.0,1.0,147.97
G.SKILL RipjawsV Series DDR4 RAM (XMP) 16GB (2x8GB) 3200MT/s CL16-18-18-38 1.35V Intel AMD Desktop Computer Memory U-DIMM - Red (F4-3200C16D-16GVRB),16.0,4.0,3200.0,16,G.SKILL,1.0,1.0,159.99
"【DDR4 RAM Laptop Only】 GIGASTONE 32GB Kit (2x16GB) DDR4 3200MHz (2933MHz or 2666MHz) PC4-25600 (PC4-23400, 21300) CL22 1.2V SODIMM 260 Pin Unbuffered Non ECC High Performance Notebook Memory Upgrade",32.0,4.0,3200.0,22,Unknown,1.0,0.0,268.99
KLEVV Bolt X DDR4 16GB (2x8GB) 3200MHz CL16 1.35V Gaming Desktop Ram Memory SK Hynix Chip XMP 2.0 Ready (KD48GU880-32A160U),16.0,4.0,3200.0,16,SK Hynix,1.0,1.0,149.99
G.SKILL Trident Z RGB Series DDR4 RAM (XMP) 16GB (2x8GB) 3200MT/s CL16-18-18-38 1.35V Intel AMD Desktop Computer Memory U-DIMM (F4-3200C16D-16GTZR),16.0,4.0,3200.0,16,G.SKILL,1.0,1.0,174.99
Crucial RAM 32GB Kit (16GBx2) DDR4 3200MHz CL22 (or 2933MHz or 2666MHz) Desktop Memory CT2K16G4DFD832A,32.0,4.0,3200.0,22,Crucial,1.0,0.0,252.99
"Kingston FURY Beast 16GB 3200MHz DDR4 CL16 Desktop Memory Single Stick KF432C16BB/16, Black",16.0,4.0,3200.0,16,Kingston,0.0,1.0,129.9
Samsung 32GB (2x16GB) DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 UDIMM 1Rx8 Single Rank 1.2V Non-ECC DIMM 288-Pin Desktop PC RAM Memory,32.0,4.0,3200.0,22,Samsung,1.0,0.0,243.9
Silicon Power Value Gaming DDR4 RAM 32GB (2x16GB) 3200MHz (PC4 25600) 288-pin CL16 1.35V UDIMM Desktop Memory Module with Heatsink Grey SU032GXLZU320BDAJ7,32.0,4.0,3200.0,16,Unknown,1.0,1.0,209.97
"DDR4 3200MHz RAM 32GB Kit (2x16GB) XMP 2.0 CL16 UDIMM, Desktop Memory Module PC4-25600 288-Pin 1.35V Non-ECC Unbuffered PC Computer RAM Stick Upgrade - Blue",32.0,4.0,3200.0,16,Unknown,1.0,1.0,215.99
Samsung 16GB DDR4 3200MHz SODIMM PC4-25600 CL22 2Rx8 1.2V 260-Pin SO-DIMM Laptop Notebook RAM Memory Module M471A2K43DB1-CWE,16.0,4.0,3200.0,22,Samsung,0.0,0.0,128.0
CORSAIR Vengeance SODIMM DDR4 RAM 32GB (2x16GB) 3200MHz CL22-22-22-53 1.2V Intel AMD Laptop Notebook Memory - Black (CMSX32GX4M2A3200C22),32.0,4.0,3200.0,22,CORSAIR,1.0,1.0,262.99
Kingston Fury Beast 16GB 3200MHz DDR4 CL16 Desktop Memory Single Module KF432C16BB1/16,16.0,4.0,3200.0,16,Kingston,0.0,1.0,137.99
Patriot Viper Steel RGB DDR4 RAM 32GB (2X16GB) 3200MHz CL18 1.35v UDIMM Desktop Gaming Memory Kit Compatible with XMP - PVSR432G320C8K,32.0,4.0,3200.0,18,Patriot,1.0,1.0,289.99
NEMIX RAM 32GB (2X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC Unbuffered UDIMM KIT,32.0,4.0,3200.0,22,Unknown,1.0,0.0,378.99
Kingston Fury Beast 32GB (2x16GB) 3200MT/s DDR4 CL16 Desktop Memory Kit of 2 KF432C16BBK2/32,32.0,4.0,3200.0,16,Kingston,1.0,1.0,298.77
NEMIX RAM 128GB (8X16GB) DDR4 3200MHZ PC4-25600 2Rx4 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with GIGABYTE MC62-G40 MC62-G41 Motherboard,128.0,4.0,3200.0,22,Unknown,1.0,0.0,1475.49
Samsung 16GB (2x8GB) DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 UDIMM 1Rx8 Single Rank 1.2V Non-ECC DIMM 288-Pin Desktop PC RAM Memory,16.0,4.0,3200.0,22,Samsung,1.0,0.0,164.79
Samsung 16GB (2x8GB) DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 UDIMM 1Rx16 Single Rank 1.2V Non-ECC DIMM 288-Pin Desktop PC RAM Memory,16.0,4.0,3200.0,22,Samsung,1.0,0.0,178.0
Kingston Fury Beast 32GB (2x16GB) 3200MHz DDR4 CL16 Desktop Memory Kit of 2 KF432C16BB1K2/32,32.0,4.0,3200.0,16,Kingston,1.0,1.0,299.77
NEMIX RAM 128GB (8X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with Dell PowerEdge T550 Tower,128.0,4.0,3200.0,22,Dell,1.0,0.0,1475.49
NEMIX RAM 128GB (8X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with Dell PowerEdge R650 Rack Server,128.0,4.0,3200.0,22,Dell,1.0,0.0,1475.49
"Samsung 32GB (2x16GB) DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 SODIMM 1Rx8 Single Rank 1.2V 260-Pin Laptop, Notebook RAM Memory",32.0,4.0,3200.0,22,Samsung,1.0,0.0,280.0
NEMIX RAM 128GB (8X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with ASUS Pro WS WRX80E-SAGE SE WiFi Motherboard,128.0,4.0,3200.0,22,Unknown,1.0,0.0,1475.49
Kingston Fury Impact 16 (2 x 8 GB) 3200MHz DDR4 CL20 Laptop Memory Kit of 2 KF432S20IBK2/16,16.0,4.0,3200.0,20,Kingston,1.0,1.0,136.99
NEMIX RAM 16GB (2X8GB) DDR4 3200MHZ PC4-25600 1Rx8 1.2V CL22 288-PIN ECC Unbuffered UDIMM KIT Compatible with DELL PowerEdge T150 Server,16.0,4.0,3200.0,22,DELL,1.0,0.0,178.99
NEMIX RAM 32GB (2X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC RDIMM Registered Server Memory KIT Compatible with Dell EMC PowerEdge XE7100 XE7420 XE7440 Rack Server,32.0,4.0,3200.0,22,Dell,1.0,0.0,371.89
NEMIX RAM 32GB (2X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 260-PIN Non-ECC Unbuffered SODIMM KIT Compatible with POSIFLEX ZT-3715 Haydn ZT Series POS Terminal,32.0,4.0,3200.0,22,Unknown,1.0,0.0,241.38
NEMIX RAM 16GB (2X8GB) DDR4 3200MHZ PC4-25600 1Rx8 1.2V CL22 288-PIN Non-ECC Unbuffered UDIMM Desktop PC Memory KIT Compatible with MSI Creator TRX40 Motherboard,16.0,4.0,3200.0,22,Unknown,1.0,0.0,139.89
NEMIX RAM 64GB (4X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC Unbuffered UDIMM KIT Compatible with Dell PowerEdge R350 Rack Server,64.0,4.0,3200.0,22,Dell,1.0,0.0,756.99
NEMIX RAM 64GB (4X16GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN ECC Unbuffered UDIMM KIT Compatible with ASUS Pro WS WRX80E-SAGE SE WiFi Motherboard,64.0,4.0,3200.0,22,Unknown,1.0,0.0,756.99
ANACOMDA S DDR4 PC RAM 16GB 3200MHz CL16 UDIMM Desktop Memory with Aluminum Heatsink – 288-Pin High Performance Gaming Computer Memory Module,16.0,4.0,3200.0,16,Unknown,0.0,1.0,132.99
NEMIX RAM 16GB (2X8GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 288-PIN Non-ECC Unbuffered UDIMM Desktop PC Memory KIT,16.0,4.0,3200.0,22,Unknown,1.0,0.0,139.89
G.SKILL Ripjaws DDR4 SO-DIMM Series DDR4 RAM 16GB (2x8GB) 3200MT/s CL22-22-22-52 1.20V Unbuffered Non-ECC Notebook/Laptop Memory SO-DIMM (F4-3200C22D-16GRS),16.0,4.0,3200.0,22,G.SKILL,1.0,1.0,159.99
Patriot Viper Steel RGB DDR4 RAM 32GB (2X16GB) 3200MT/s CL16 1.35v UDIMM Desktop Gaming Memory Kit Compatible with XMP - PVSR432G320C6K,32.0,4.0,3200.0,16,Patriot,1.0,1.0,289.99
32GB 2X16GB DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 260-PIN Non-ECC SODIMM KIT NEMIX RAM Laptop PC Memory,32.0,4.0,3200.0,22,Unknown,1.0,0.0,241.38
NEMIX RAM 16GB (2X8GB) DDR4 3200MHZ PC4-25600 2Rx8 1.2V CL22 260-PIN Non-ECC SODIMM Laptop PC Memory KIT,16.0,4.0,3200.0,22,Unknown,1.0,0.0,139.89
"A-Tech 32GB (2x16GB) RAM Replacement for CT2K16G4SFRA32A | DDR4 3200MHz PC4-25600 (PC4-3200AA) CL22 SODIMM 1.2V Non-ECC SO-DIMM 260-Pin Laptop, Notebook Memory Modules",32.0,4.0,3200.0,22,A-Tech,1.0,0.0,271.52
CORSAIR Vengence RGB DDR5 RAM 32GB (2x16GB) 6000MHz CL36-44-44-96 1.35V Intel XMP 3.0 Computer Memory – Black (CMH32GX5M2E6000C36),32.0,5.0,6000.0,36,CORSAIR,1.0,1.0,369.99
"Crucial Pro DDR5 RAM 32GB Kit (2x16GB), 6400MHz CL32, Overclocking Desktop Gaming Memory, Intel XMP 3.0 & AMD Expo Compatible, Black - CP2K16G64C32U5B",32.0,5.0,6400.0,32,Crucial,1.0,1.0,369.99
"Crucial Pro 32GB DDR5 RAM Kit (2x16GB),CL36 6000MHz, Overclocking Desktop Gaming Memory, Intel XMP 3.0 & AMD Expo Compatible, Black - CP2K16G60C36U5B",32.0,5.0,6000.0,36,Crucial,1.0,1.0,389.0
TEAMGROUP T-Create Expert CL30 Overclocking 10L DDR5 32GB Kit (2 x 16GB) 6000MHz (PC5-48000) Intel XMP 3.0 & AMD EXPO Compatible Desktop Memory Module Ram Black - CTCED532G6000HC30DC01,32.0,5.0,6000.0,30,TEAMGROUP,1.0,0.0,459.99
G.SKILL Flare X5 Series DDR5 RAM (AMD Expo & Intel XMP 3.0) 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3636F16GX2-FX5),32.0,5.0,6000.0,36,G.SKILL,1.0,0.0,420.0
PUSKILL 32GB DDR5 RAM (2x16GB) 6000MHz CL30 Desktop Memory | Ultra-Low Latency Gaming PC Upgrade | Intel XMP 3.0 & AMD EXPO Ready for 700/600 & Ryzen 7000 (AM5),32.0,5.0,6000.0,30,Unknown,1.0,1.0,398.99
"AGI Gaming Upgrade Kit: UD858 TURBOJET RGB DDR5 6000MHz 32GB (2x16GB) CL30 Desktop Memory & AI828 1TB NVMe PCIe 4.0 M.2 SSD with Heatsink, Up to 7400MB/s, Supports Intel XMP 3.0 & AMD Expo",32.0,5.0,6000.0,30,Unknown,1.0,1.0,799.99
"Lexar ARES Gen2 RGB DDR5 RAM 32GB Kit (2x16GB) 6000MHz CL30, 288-Pin UDIMM Desktop Memory, PC Gaming Computer Memory, for Intel XMP 3.0/AMD EXPO/CL30-38-38-76/1.4V(LD5U16G60C30BR-RGD)",32.0,5.0,6000.0,30,Unknown,1.0,1.0,459.99
G.SKILL Flare X5 Series DDR5 RAM (AMD EXPO) 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3038F16GX2-FX5),32.0,5.0,6000.0,30,G.SKILL,1.0,0.0,509.99
G.SKILL Trident Z5 Neo RGB Series DDR5 RAM (AMD Expo) 32GB (2x16GB) 6000MT/s CL30-38-38-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3038F16GX2-TZ5NR),32.0,5.0,6000.0,30,G.SKILL,1.0,1.0,499.99
CORSAIR VENGEANCE RGB DDR5 RAM 32GB (2x16GB) 6400MHz CL36-48-48-104 1.35V Intel XMP 3.0 Desktop Computer Memory - Black (CMH32GX5M2B6400C36),32.0,5.0,6400.0,36,CORSAIR,1.0,1.0,399.99
TEAMGROUP T-Create Expert Overclocking 10L DDR5 32GB Kit (2 x 16GB) 6000MHz (PC5-48000) CL30 Intel XMP 3.0 & AMD EXPO Compatible Desktop Memory Module Ram White - CTCWD532G6000HC30DC01,32.0,5.0,6000.0,30,TEAMGROUP,1.0,0.0,479.99
Silicon Power Value Gaming DDR5 32GB (2x16GB) 6000MT/s (PC5-48000) 288-pin CL30 1.35V UDIMM Desktop RAM Computer Memory SP032GXLWU60AFDJ,32.0,5.0,6000.0,30,Unknown,1.0,1.0,449.97
CORSAIR Vengeance DDR5 RAM 32GB (2x16GB) 6400MHz CL36-48-48-104 1.35V AMD Expo Intel XMP 3.0 Desktop Computer Memory – Gray (CMK32GX5M2B6400Z36),32.0,5.0,6400.0,36,CORSAIR,1.0,1.0,430.99
DDR5 RAM 32GB (16GB×2) 6000MHz (PC5-48000) CL40 1.35V (XMP3.0/Expo) Desktop (DIMM) Computer Memory with Heatsink White Acclamator,32.0,5.0,6000.0,40,Unknown,0.0,1.0,379.99
NEMIX RAM 1.1TB (12X96GB) DDR5 5600MHZ PC5-44800 2Rx4 1.1V CL46 288-PIN ECC RDIMM Registered Server Memory KIT,1152.0,5.0,5600.0,46,Unknown,1.0,0.0,34499.99
768GB (12X64GB) DDR5 5600MHZ PC5-44800 4Rx4 1.1V CL46 288-PIN ECC Registered RDIMM NEMIX RAM Server Memory KIT,768.0,5.0,5600.0,46,Unknown,1.0,0.0,27429.99
"DATO DDR5 UDIMM 64GB Kit 32GBx2 Desktop RAM 5600MHz PC5-44800 CL46 1.1V 288-Pin Non-ECC unbuffered dimm, Desktop Memory Module",64.0,5.0,5600.0,46,Unknown,1.0,0.0,969.99
"DATO 32GB RAM (16GBx2), DDR4 3200MHz with Heatsink, PC4-25600 CL16 1.35V 288-Pin Non-ECC UDIMM, Desktop Memory Module for Gaming, Extreme Black",32.0,4.0,3200.0,16,Unknown,0.0,1.0,296.99
"Lexar ARES Gen2 RGB DDR5 RAM 32GB Kit (2x16GB) 6000MHz CL28, 288-Pin UDIMM Desktop Memory, PC Gaming Computer Memory for Intel XMP 3.0/DRAM Empowered by SK hynix/CL28-36-36-68/1.4V(LD5U16G60C28BR-RGD)",32.0,5.0,6000.0,28,SK hynix,1.0,1.0,549.99
"Lexar ARES Gen2 RGB DDR5 RAM 64GB Kit (2x32GB) 6000MHz CL30, 288-Pin UDIMM Desktop Memory, PC Gaming Computer Memory, for Intel XMP 3.0/AMD EXPO/CL30-38-38-76/1.4V",64.0,5.0,6000.0,30,Unknown,1.0,1.0,809.99
A-Tech 32GB DDR5 5600MHz PC5-44800 CL46 SODIMM 2Rx8 Dual Rank 1.1V Non-ECC Unbuffered SO-DIMM 262-Pin Laptop Computer RAM Memory Upgrade Module,32.0,5.0,5600.0,46,A-Tech,0.0,0.0,409.99
G.SKILL Flare X5 Series DDR5 RAM (AMD Expo) 32GB (2x16GB) 6000MT/s CL32-38-38-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3238F16GX2-FX5),32.0,5.0,6000.0,32,G.SKILL,1.0,0.0,441.0
Kingston FURY Beast RGB 32GB 6000MT/s DDR5 CL30 Desktop Memory | AMD EXPO | Single Module | KF560C30BBEA-32,32.0,5.0,6000.0,30,Kingston,0.0,1.0,469.99
TEAMGROUP T-Force Delta Alpha RGB DDR5 Ram 32GB Kit (2x16GB) 6000MHz (PC5-48000) CL38 Intel XMP 3.0 & AMD Expo Compatible Desktop Memory Module Ram White FF8D532G6000HC38JDC01,32.0,5.0,6000.0,38,TEAMGROUP,1.0,1.0,499.49
TEAMGROUP T-Force Vulcan Alpha DDR5 Ram 32GB Kit (2x16GB) 6000MHz (PC5-48000) CL38 Desktop Memory Module Ram AMD Optimized Memory Black FLABD532G6000HC38JDC01,32.0,5.0,6000.0,38,TEAMGROUP,1.0,1.0,489.49
Patriot Memory Viper Elite 5 RGB DDR5 RAM 32GB (2X16GB) 6000MT/s CL30 1.35v UDIMM Desktop Gaming Memory Kit Compatible with Intel XMP/AMD Expo - PVER532G60C30KW,32.0,5.0,6000.0,30,Patriot Memory,1.0,1.0,474.99
Kingston FURY Beast 32GB (2x16GB) 6000MT/s DDR5 CL30 Desktop Memory | AMD EXPO | Kit of 2 | KF560C30BBEK2-32,32.0,5.0,6000.0,30,Kingston,1.0,1.0,499.99
KLEVV CRAS V RGB DDR5 32GB (2x16GB) 6000MHz CL30 SK Hynix A-Die 1.35V Gaming Desktop Ram Memory XMP 3.0 / AMD Expo Ready - White (KD5AGUA80-60A300J),32.0,5.0,6000.0,30,SK Hynix,1.0,1.0,499.99
G.SKILL Trident Z5 RGB Series DDR5 RAM (Intel XMP 3.0 & AMD Expo) 32GB (2x16GB) 6000MT/s CL36-36-36-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3636F16GA2-TZ5RK),32.0,5.0,6000.0,36,G.SKILL,1.0,1.0,479.99
G.SKILL Ripjaws S5 Series DDR5 RAM (Intel XMP 3.0) 32GB (2x16GB) 6000MT/s CL30-40-40-96 1.35V Desktop Computer Memory U-DIMM - Matte Black (F5-6000J3040F16GA2-RS5K),32.0,5.0,6000.0,30,G.SKILL,1.0,1.0,479.99
CORSAIR Vengeance RGB RS DDR5 RAM 32GB (2x16GB) 6000MHz CL36-44-44-96 1.35V AMD EXPO Intel XMP Computer Desktop Memory – Gray (CMG32GX5M2E6000Z36),32.0,5.0,6000.0,36,CORSAIR,1.0,1.0,505.99
CORSAIR Vengeance DDR5 32GB (2 x 16GB) 6000MHz CL38-44-44-96 1.35V Intel XMP 3.0 AMD Expo Computer Desktop Memory – Gray,32.0,5.0,6000.0,38,CORSAIR,1.0,1.0,317.22
KLEVV FIT V DDR5 32GB (2x16GB) 6000MHz CL28 SK Hynix A-Die 1.4V Gaming Desktop Ram Memory XMP 3.0 / AMD Expo Ready - Black (KD5AGU880-60B280L),32.0,5.0,6000.0,28,SK Hynix,1.0,1.0,464.99
TEAMGROUP T-Force Delta RGB DDR5 32GB Kit (2x16GB) 6400MHz (PC5-51200) CL40 Desktop Memory Module Ram (Black) for Z690 - FF3D532G6400HC40BDC01,32.0,5.0,6400.0,40,TEAMGROUP,1.0,1.0,549.99
